"","Compound ID","ESOL predicted log solubility in mols per litre","Minimum Degree","Molecular Weight","Number of H-Bond Donors","Number of Rings","Number of Rotatable Bonds","Polar Surface Area","measured log solubility in mols per litre","smiles","compound"
"390","1,2,3-Trimethylbenzene",-3.312,1,120.195,0,1,0,0,-3.2,"Cc1cccc(C)c1C","1,2,3-trimethylbenzene"
"391","Aminocarb",-2.677,1,208.261,1,1,2,41.57,-2.36,"CNC(=O)Oc1ccc(N(C)C)c(C)c1","aminocarb"
"392","2-Nonanol",-2.387,1,144.258,1,0,6,20.23,-2.74,"CCCCCCCC(C)O","2-nonanol"
"393","Methyldymron",-3.863,1,268.36,1,2,3,32.34,-3.35,"CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2","methyldymron"
"394","3-Hexanone",-1.266,1,100.161,0,0,3,17.07,-0.83,"CCCC(=O)CC","3-hexanone"
"395","bromoxynil",-3.793,1,276.915,1,1,0,44.02,-3.33,"Oc1c(Br)cc(C#N)cc1Br","bromoxynil"
"396","3,4-PCB",-5.223,1,223.102,0,2,1,0,-6.39,"Clc1ccc(cc1Cl)c2ccccc2","3,4-pcb"
"397","Mefenacet",-4.504,1,298.367,0,3,4,42.43,-4.873,"CN(C(=O)COc1nc2ccccc2s1)c3ccccc3","mefenacet"
"398","5-hydroxyquinoline",-2.725,1,145.161,1,2,0,33.12,-2.54,"Oc1cccc2ncccc12","5-hydroxyquinoline"
"399","Carboxin",-2.927,1,235.308,1,2,2,38.33,-3.14,"CC1=C(SCCO1)C(=O)Nc2ccccc2","carboxin"
"400","Ethoxyzolamide",-3.085,1,258.324,1,2,3,82.28,-3.81,"CCOc2ccc1nc(sc1c2)S(N)(=O)=O","ethoxyzolamide"
"401","Pentachlorophenol",-4.835,1,266.338,1,1,0,20.23,-4.28,"Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl","pentachlorophenol"
"402","Bromochloromethane",-1.519,1,129.384,0,0,0,0,-0.89,"ClCBr","bromochloromethane"
"403","metharbital",-1.658,1,198.222,1,1,2,66.48,-2.23,"CCC1(CC)C(=O)NC(=O)N(C)C1=O","metharbital"
"404","deoxycorticosterone acetate",-4.472,1,372.505,0,4,3,60.44,-4.63,"CC(=O)OCC(=O)C3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C","deoxycorticosterone acetate"
"405","benzylurea",-1.509,1,150.181,2,1,2,55.12,-0.95,"NC(=O)NCc1ccccc1","benzylurea"
"406","Chlortoluron",-3.048,1,212.68,1,1,1,32.34,-3.483,"CN(C)C(=O)Nc1ccc(C)c(Cl)c1","chlortoluron"
"407","Linuron",-3.581,1,249.097,1,1,2,41.57,-3.592,"CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1","linuron"
"408","Cycloheptanol",-1.7,1,114.188,1,1,0,20.23,-0.88,"OC1CCCCCC1","cycloheptanol"
"409","Thiamphenicol",-1.936,1,356.227,3,1,6,103.7,-2.154,"CS(=O)(=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl","thiamphenicol"
"410","thiopental",-2.96,1,242.344,2,1,4,58.2,-3.36,"CCCC(C)C1(CC)C(=O)NC(=S)NC1=O","thiopental"
"411","acetazolamide",-0.793,1,222.251,2,1,2,NA,-2.36,"CC(=O)Nc1nnc(s1)S(N)(=O)=O","acetazolamide"
"412","p-Nitrophenol",-2.318,1,139.11,1,1,1,63.37,-0.74,"Oc1ccc(cc1)N(=O)=O","p-nitrophenol"
"413","Aldrin",-5.511,1,364.914,0,4,0,0,-6.307,"ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl","aldrin"
"414","Tetrahydrofurane",-0.62,2,72.107,0,1,0,9.23,0.49,"C1CCOC1","tetrahydrofurane"
"415","o-Nitroaniline",-2.277,1,138.126,1,1,1,69.16,-1.96,"Nc1ccccc1N(=O)=O","o-nitroaniline"
"416","2,2',3,3'-PCB",-6.079,1,291.992,0,2,1,0,-7.28,"Clc1cccc(c1Cl)c2cccc(Cl)c2Cl","2,2',3,3'-pcb"
"417","phenylbutazone",-4.076,1,308.381,0,3,5,40.62,-3.81,"CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3","phenylbutazone"
"418","2,6-Dinitrotoluene",-2.553,1,182.135,0,1,2,86.28,-3,"Cc1c(cccc1N(=O)=O)N(=O)=O","2,6-dinitrotoluene"
"419","Progesterone",-4.17,1,314.469,0,4,1,34.14,-4.42,"CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C","progesterone"
"420","Chlorazine",-3.663,1,257.769,0,1,6,45.15,-4.411,"CCN(CC)c1nc(Cl)nc(n1)N(CC)CC","chlorazine"
"421","captafol",-4.365,1,349.066,0,2,3,37.38,-5.4,"ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O","captafol"
"422","1,2,4-tribromobenzene",-5.144,1,NA,0,1,0,0,-4.5,"c1(Br)c(Br)cc(Br)cc1","1,2,4-tribromobenzene"
"423","Oxazepam",-3.517,1,286.718,2,3,1,61.69,-3.952,"OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O","oxazepam"
"424","Secobarbital",-2.415,1,238.287,2,1,5,75.27,-2.356,"O=C1NC(=O)NC(=O)C1(C(C)CCC)CC=C","secobarbital"
"425","Carvacrol",-3.224,1,150.221,1,1,1,20.23,-2.08,"c1(O)c(C)ccc(C(C)C)c1","carvacrol"
"426","rhodanine",-0.396,1,133.197,1,1,0,29.1,-1.77,"C1SC(=S)NC1(=O)","rhodanine"
"427","Morin",-2.731,1,302.238,5,3,1,131.36,-3.083,"Oc1ccc(c(O)c1)c3oc2cc(O)cc(O)c2c(=O)c3O","morin"
"428","Kepone",-5.112,1,490.639,0,6,0,17.07,-5.259,"ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl","kepone"
"429","Disulfiram",-3.862,1,296.552,0,0,4,6.48,-4.86,"CCN(CC)C(=S)SSC(=S)N(CC)CC","disulfiram"
"430","Cyclohexane",-2.477,2,84.162,0,1,0,0,-3.1,"C1CCCCC1","cyclohexane"
"431","Dienochlor",-7.848,1,474.64,0,2,1,0,-7.278,"ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl","dienochlor"
"432","chlordimeform",-3.164,1,196.681,0,1,2,15.6,-2.86,"CN(C)C=Nc1ccc(Cl)cc1C","chlordimeform"
"433","Equilenin",-3.927,1,266.34,1,4,0,37.3,-5.24,"CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O","equilenin"
"434","1-Octanol",-2.105,1,130.231,1,0,6,20.23,-2.39,"CCCCCCCCO","1-octanol"
"435","Diethyl sulfide",-1.598,1,90.191,0,0,2,0,-1.34,"CCSCC","diethyl sulfide"
"436","1,2-Dichloroethane",-1.374,1,98.96,0,0,1,0,-1.06,"ClCCCl","1,2-dichloroethane"
"437","2-Chloro-2-methylbutane",-2.278,1,106.596,0,0,1,0,-2.51,"CCC(C)(C)Cl","2-chloro-2-methylbutane"
"438","1-Chloro-2-bromoethane",-1.738,1,143.411,0,0,1,0,-1.32,"ClCCBr","1-chloro-2-bromoethane"
"439","p-Nitroaniline",-1.936,1,138.126,1,1,1,69.16,-2.37,"Nc1ccc(cc1)N(=O)=O","p-nitroaniline"
"440","Lactose",1.071,1,342.297,8,2,4,189.53,-0.244,"OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O","lactose"
"441","RTI 2",-3.125,1,268.32,0,3,2,49.33,-2.86,"CCN2c1ncccc1N(CC)C(=O)c3cccnc23","rti 2"
"442","Chlorobenzene",-2.975,1,112.559,0,1,0,0,-2.38,"Clc1ccccc1","chlorobenzene"
"443","1-Nonene",-3.427,1,126.243,0,0,6,0,-5.05,"CCCCCCCC=C","1-nonene"
"444","p-Bromoiodobenzene",-4.754,1,282.906,0,1,0,0,-4.56,"Brc1ccc(I)cc1","p-bromoiodobenzene"
"445","3-Methyl-3-pentanol",-1.308,1,102.177,1,0,2,20.23,-0.36,"CCC(C)(O)CC","3-methyl-3-pentanol"
"446","Pentylbenzene",-3.899,1,148.249,0,1,4,0,-4.64,"CCCCCc1ccccc1","pentylbenzene"
"447","allantoin",0.652,1,158.117,4,1,1,113.32,-1.6,"NC(=O)NC1NC(=O)NC1=O","allantoin"
"448","Glafenine",-5.052,1,372.808,3,3,6,91.68,-4.571,"OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23","glafenine"
"449","DDD",-6.008,1,320.046,0,2,3,0,-7.2,"ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2","ddd"
"450","testosterone acetate",-4.449,1,330.468,0,4,1,43.37,-5.184,"CC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C","testosterone acetate"
"451","1-Chloronapthalene",-4.063,1,162.619,0,2,0,0,-3.93,"Clc1cccc2ccccc12","1-chloronapthalene"
"452","RTI 19",-4.007,1,252.317,0,3,1,23.55,-4.749,"CCN2c1ccccc1N(C)C(=O)c3ccccc23","rti 19"
"453","2-Hexanol",-1.324,1,102.177,1,0,3,20.23,-0.89,"CCCCC(C)O","2-hexanol"
"454","Propylcyclopentane",-3.16,1,112.216,0,1,2,0,-4.74,"CCCC1CCCC1","propylcyclopentane"
"455","Etomidate",-3.359,1,244.294,0,2,4,44.12,-4.735,"CCOC(=O)c1cncn1C(C)c2ccccc2","etomidate"
"456","3,4-Dichlorophenol",-3.352,1,163.003,1,1,0,20.23,-1.25,"Oc1ccc(Cl)c(Cl)c1","3,4-dichlorophenol"
"457","Cypermethrin",-6.775,1,416.304,0,3,6,59.32,-8.017,"CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2","cypermethrin"
"458","Benzoxazole",-2.214,2,119.123,0,2,0,26.03,-1.16,"c2ccc1ocnc1c2","benzoxazole"
"459","1-Pentanol",-1.042,1,88.15,1,0,3,20.23,-0.6,"CCCCCO","1-pentanol"
"460","N,N-Diethylaniline",-3.16,1,149.237,0,1,3,3.24,-3.03,"CCN(CC)c1ccccc1","n,n-diethylaniline"
"461","1,3-Difluorobenzene",-2.636,1,114.094,0,1,0,0,-2,"Fc1cccc(F)c1","1,3-difluorobenzene"
"462","3-chloropropionitrile",-0.522,1,89.525,0,0,1,23.79,-0.29,"ClCCC#N","3-chloropropionitrile"
"463","t-Pentylbenzene",-3.867,1,148.249,0,1,1,0,-4.15,"CC(C)(C)Cc1ccccc1","t-pentylbenzene"
"464","5-Ethyl-5-phenylbarbital",-2.272,1,232.239,2,2,2,75.27,-2.322,"O=C1NC(=O)NC(=O)C1(CC)c1ccccc1","5-ethyl-5-phenylbarbital"
"465","o-Chloroiodobenzene",-4.384,1,238.455,0,1,0,0,-3.54,"Clc1ccccc1I","o-chloroiodobenzene"
"466","Benzotriazole",-2.21,2,119.127,1,2,0,41.57,-0.78,"c2ccc1[nH]nnc1c2","benzotriazole"
"467","Carbofuran",-3.05,1,221.256,1,2,1,47.56,-2.8,"CNC(=O)Oc1cccc2CC(C)(C)Oc12","carbofuran"
"468","2,6-Dimethylphenol",-2.589,1,122.167,1,1,0,20.23,-1.29,"Cc1cccc(C)c1O","2,6-dimethylphenol"
"469","3-Methyl-2-butanol",-0.954,1,88.15,1,0,1,20.23,-0.18,"CC(C)C(C)O","3-methyl-2-butanol"
"470","benzhydrol",-3.033,1,184.238,1,2,2,20.23,-2.55,"c1ccccc1C(O)c2ccccc2","benzhydrol"
"471","Methyl decanoate",-3.316,1,186.295,0,0,8,26.3,-4.69,"CCCCCCCCCC(=O)OC","methyl decanoate"
"472","Dicapthon",-4.188,1,297.656,0,1,5,70.83,-4.31,"COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O","dicapthon"
"473","1-Bromo-2-methylpropane",-2.288,1,137.02,0,0,1,0,-2.43,"CC(C)CBr","1-bromo-2-methylpropane"
"474","Iodoethane",-2.066,1,155.966,0,0,0,0,-1.6,"CCI","iodoethane"
"475","Pirimicarb",-2.34,1,238.291,0,1,2,58.56,-1.95,"CN(C)C(=O)Oc1nc(nc(C)c1C)N(C)C","pirimicarb"
"476","1-Bromohexane",-3.012,1,165.074,0,0,4,0,-3.81,"CCCCCCBr","1-bromohexane"
"477","2-Methylpentane",-2.6,1,86.178,0,0,2,0,-3.74,"CCCC(C)C","2-methylpentane"
"478","Tetrafluthrin",-6.339,1,418.736,0,2,4,26.3,-7.321,"Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F","tetrafluthrin"
"479","Metolachlor",-3.431,1,283.799,0,1,6,29.54,-2.73,"CCc1cccc(C)c1N(C(C)COC)C(=O)CCl","metolachlor"
"480","nifuroxime",-1.843,1,156.097,1,1,2,88.87,-2.19,"ON=Cc1ccc(o1)N(=O)=O","nifuroxime"
"481","Fluvalinate",-8.057,1,502.92,1,3,8,71.35,-8.003,"CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2","fluvalinate"
"482","Amitrole",-0.674,1,84.082,2,1,0,67.59,0.522,"Nc1nc[nH]n1","amitrole"
"483","Tribromomethane",-2.904,1,252.731,0,0,0,0,-1.91,"BrC(Br)Br","tribromomethane"
"484","Trichlorfon",-1.866,1,257.437,1,0,3,55.76,-0.22,"COP(=O)(OC)C(O)C(Cl)(Cl)Cl","trichlorfon"
"485","Phosalone",-5.024,1,367.816,0,2,7,53.6,-5.233,"CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc12","phosalone"
"486","Phenylmethanol",-1.699,1,108.14,1,1,1,20.23,-0.4,"OCc1ccccc1","phenylmethanol"
"487","Coumatetralyl",-5.194,1,292.334,1,4,1,50.44,-2.84,"O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2","coumatetralyl"
"488","4-Bromophenol",-3.132,1,173.009,1,1,0,20.23,-1.09,"Oc1ccc(Br)cc1","4-bromophenol"
"489","2-Bromopropane",-1.949,1,122.993,0,0,0,0,-1.59,"CC(C)Br","2-bromopropane"
"490","2,2,4-Trimethylpentane",-3.276,1,114.232,0,0,1,0,-4.74,"CC(C)CC(C)(C)C","2,2,4-trimethylpentane"
"491","1,3,5-Trinitrobenzene",-2.324,1,213.105,0,1,3,129.42,-2.89,"O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O","1,3,5-trinitrobenzene"
"492","Nimetazepam",-3.557,1,295.298,0,3,2,75.81,-3.796,"CN2C(=O)CN=C(c1ccccc1)c3cc(ccc23)N(=O)=O","nimetazepam"
"493","Propane",-1.553,1,44.097,0,0,0,0,-1.94,"CCC","propane"
"494","Minoxidil",-1.809,1,209.253,2,2,1,95.11,-1.989,"Nc1cc(nc(N)n1=O)N2CCCCC2","minoxidil"
"495","1-aminoacridine",-3.542,1,194.237,1,3,0,38.91,-4.22,"Nc2cccc3nc1ccccc1cc23","1-aminoacridine"
"496","Benzo(k)fluoranthene",-6.007,2,252.316,0,5,0,0,-8.49,"c1ccc2cc3c4cccc5cccc(c3cc2c1)c45","benzo(k)fluoranthene"
"497","Dicofol",-6.268,1,370.49,1,2,2,20.23,-5.666,"OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl","dicofol"
"498","Acenapthene",-3.792,2,154.212,0,3,0,0,-4.63,"C1Cc2cccc3cccc1c23","acenapthene"
"499","Dialifos",-5.026,1,393.854,0,2,8,55.84,-6.34,"CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O","dialifos"
"500","1,4-Dibromobenzene",-4.298,1,235.906,0,1,0,0,-4.07,"Brc1ccc(Br)cc1","1,4-dibromobenzene"
"501","Methazole",-3.601,1,261.064,0,2,1,57.14,-2.82,"Cn2c(=O)on(c1ccc(Cl)c(Cl)c1)c2=O","methazole"
"502","p-Phenylphenol",-3.701,1,170.211,1,2,1,20.23,-3.48,"Oc1ccc(cc1)c2ccccc2","p-phenylphenol"
"503","pyracarbolid",-2.83,1,217.268,1,2,2,38.33,-2.56,"CC1=C(CCCO1)C(=O)Nc2ccccc2","pyracarbolid"
"504","Ethyl vinyl ether",-0.857,1,72.107,0,0,2,9.23,-0.85,"CCOC=C","ethyl vinyl ether"
"505","1-Butyne",-1.092,1,54.092,0,0,0,0,-1.24,"CCC#C","1-butyne"
"506","4-methoxypteridine",-1.589,1,162.152,0,2,1,60.79,-1.11,"COc1ncnc2nccnc12","4-methoxypteridine"
"507","3-Methyl-3-heptanol",-2.017,1,130.231,1,0,4,20.23,-1.6,"CCCCC(C)(O)CC","3-methyl-3-heptanol"
"508","1,4-Dichlorobenzene",-3.558,1,147.004,0,1,0,0,-3.27,"Clc1ccc(Cl)cc1","1,4-dichlorobenzene"
"509","3-Ethanoyloxymethylphenytoin",-2.723,1,324.336,1,3,4,75.71,-4.47,"O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3","3-ethanoyloxymethylphenytoin"
"510","Sparsomycin (3,8mg/ml)",-1.57,1,361.445,4,1,8,132.12,-1.981,"CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O","sparsomycin (3,8mg/ml)"
"511","3-methylindole",-2.981,1,131.178,1,2,0,15.79,-2.42,"Cc1c[nH]c2ccccc12","3-methylindole"
"512","2-methoxypteridine",-1.589,1,162.152,0,2,1,60.79,-1.11,"COc2ncc1nccnc1n2","2-methoxypteridine"
"513","Dioxacarb",-1.614,1,223.228,1,2,2,56.79,-1.57,"CNC(=O)Oc1ccccc1C2OCCO2","dioxacarb"
"514","isocarbamid",-1.508,1,185.227,2,1,2,61.44,-2.15,"C1N(C(=O)NCC(C)C)C(=O)NC1","isocarbamid"
"515","Acetonitrile",0.152,1,41.053,0,0,0,23.79,0.26,"CC#N","acetonitrile"
"516","Fenoxycarb",-4.662,1,301.342,1,2,7,56.79,-4.7,"CCOC(=O)NCCOc2ccc(Oc1ccccc1)cc2","fenoxycarb"
"517","acetyl sulfisoxazole",-2.024,1,293.348,1,2,3,89.43,-3.59,"CC(=O)N(S(=O)c1ccc(N)cc1)c2onc(C)c2C","acetyl sulfisoxazole"
"518","1,1,1,2-Tetrachloroethane",-2.794,1,167.85,0,0,0,0,-2.18,"ClCC(Cl)(Cl)Cl","1,1,1,2-tetrachloroethane"
"519","1-Butanol",-0.688,1,74.123,1,0,2,20.23,0,"CCCCO","1-butanol"
"520","Siduron",-3.779,1,232.327,2,2,2,41.13,-4.11,"CC1CCCCC1NC(=O)Nc2ccccc2","siduron"
"521","1,3,5-Trichlorobenzene",-4.159,1,181.449,0,1,0,0,-4.48,"Clc1cc(Cl)cc(Cl)c1","1,3,5-trichlorobenzene"
"522","Furfural",-1.391,1,96.085,0,1,1,30.21,-0.1,"O=Cc1ccco1","furfural"
"523","3-Methylbutan-1-ol",-1.027,1,88.15,1,0,2,20.23,-0.51,"CC(C)CCO","3-methylbutan-1-ol"
"524","piperonal",-2.033,1,150.133,0,2,1,35.53,-1.63,"O=Cc2ccc1OCOc1c2","piperonal"
"525","2-Methylpropene",-1.573,1,56.108,0,0,0,0,-2.33,"CC(=C)C","2-methylpropene"
"526","Benzaldehyde",-1.999,1,106.124,0,1,1,17.07,-1.19,"O=Cc1ccccc1","benzaldehyde"
"527","2,3-Dimethyl-1,3-Butadiene",-2.052,1,82.146,0,0,1,0,-2.4,"CC(=C)C(=C)C","2,3-dimethyl-1,3-butadiene"
"528","Benfuracarb",-5.133,1,410.536,0,2,8,68.31,-4.71,"CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C","benfuracarb"
"529","RTI 10",-2.771,1,226.235,0,3,0,42.43,-3.672,"O2c1ccccc1N(C)C(=O)c3cccnc23","rti 10"
"530","Fluorene",-4.125,2,166.223,0,3,0,0,-5,"C1c2ccccc2c3ccccc13","fluorene"
"531","Methylcyclohexane",-2.891,1,98.189,0,1,0,0,-3.85,"CC1CCCCC1","methylcyclohexane"
"532","sulfaguanidine",-0.706,1,214.25,4,1,2,122.06,-1.99,"NC(=N)NS(=O)(=O)c1ccc(N)cc1","sulfaguanidine"
"533","Methylparaben",-2.441,1,152.149,1,1,1,46.53,-1.827,"COC(=O)c1ccc(O)cc1","methylparaben"
"534","2-Methyltetrahydrofurane",-1.034,1,86.134,0,1,0,9.23,0.11,"CC1CCCO1","2-methyltetrahydrofurane"
"535","Santonin",-2.43,1,246.306,0,3,0,43.37,-3.09,"CC3C2CCC1(C)C=CC(=O)C(=C1C2OC3=O)C","santonin"
"536","Salicin",-0.975,1,286.28,5,2,4,119.61,-0.85,"OCC2OC(Oc1ccccc1CO)C(O)C(O)C2O","salicin"
"537","1-Iodopropane",-2.486,1,169.993,0,0,1,0,-2.29,"CCCI","1-iodopropane"
"538","Ametryn",-3.43,1,227.337,2,1,5,62.73,-3.04,"CCNc1nc(NC(C)C)nc(SC)n1","ametryn"
"539","1-Propanol",-0.334,1,60.096,1,0,1,20.23,0.62,"CCCO","1-propanol"
"540","Hydroxyprogesterone-17a",-3.876,1,330.468,1,4,1,54.37,-3.817,"CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C","hydroxyprogesterone-17a"
"541","2-Pentanol",-0.97,1,88.15,1,0,2,20.23,-0.29,"CCCC(C)O","2-pentanol"
"542","benzoin",-3.148,1,212.248,1,2,3,37.3,-2.85,"OC(C(=O)c1ccccc1)c2ccccc2","benzoin"
"543","2,4-Dimethylphenol",-2.621,1,122.167,1,1,0,20.23,-1.19,"Cc1ccc(O)c(C)c1","2,4-dimethylphenol"
"544","m-Chloronitrobenzene",-2.901,1,157.556,0,1,1,43.14,-2.77,"Clc1cccc(c1)N(=O)=O","m-chloronitrobenzene"
"545","ampyrone",-1.192,1,203.245,1,2,1,52.95,-0.624,"Cc2c(N)c(=O)n(c1ccccc1)n2C","ampyrone"
"546","2,2',4,5'-PCB",-6.23,1,291.992,0,2,1,0,-6.57,"Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl","2,2',4,5'-pcb"
"547","Hexachloro-1,3-butadiene",-4.546,1,260.762,0,0,1,0,-4.92,"ClC(=C(Cl)C(=C(Cl)Cl)Cl)Cl","hexachloro-1,3-butadiene"
"548","Terbutryn",-3.75,1,241.364,2,1,4,62.73,-4,"CCNc1nc(NC(C)(C)C)nc(SC)n1","terbutryn"
"549","3-Methyl-2-pentanol",-1.308,1,102.177,1,0,3,20.23,-0.71,"CCC(C)CCO","3-methyl-2-pentanol"
"550","2-methylpteridine",-1.24,1,146.153,0,2,0,51.56,-0.12,"Cc2ncc1nccnc1n2","2-methylpteridine"
"551","Danazol",-4.557,1,337.463,1,5,0,46.26,-5.507,"CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C","danazol"
"552","1-Iodobutane",-2.841,1,184.02,0,0,2,0,-2.96,"CCCCI","1-iodobutane"
"553","2-Bromonapthalene",-4.434,1,207.07,0,2,0,0,-4.4,"Brc1ccc2ccccc2c1","2-bromonapthalene"
"554","Digoxin (L1=41,8mg/mL, L2=68,2mg/mL, Z=40,1mg/mL)",-5.312,1,780.949,6,8,7,203.06,-4.081,"CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C","digoxin (l1=41,8mg/ml, l2=68,2mg/ml, z=40,1mg/ml)"
"555","Benzyltrifluoride",-3.099,1,146.111,0,1,0,0,-2.51,"FC(F)(F)c1ccccc1","benzyltrifluoride"
"556","Dihexyl phthalate",-5.758,1,334.456,0,1,12,52.6,-6.144,"CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC","dihexyl phthalate"
"557","Dibenzothiophene",-4.597,2,184.263,0,3,0,0,-4.38,"c1ccc2c(c1)sc3ccccc23","dibenzothiophene"
"558","2,3',4,4'-PCB",-6.709,1,326.437,0,2,1,0,-7.8,"Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl","2,3',4,4'-pcb"
"559","2,2',3,3',4,4'-PCB",-7.192,1,360.882,0,2,1,0,-8.01,"Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl","2,2',3,3',4,4'-pcb"
"560","Warfarin",-3.913,1,308.333,1,3,4,67.51,-3.893,"CC(=O)CC(c1ccccc1)c3c(O)c2ccccc2oc3=O","warfarin"
"561","hydrobenzoin",-2.645,1,214.264,2,2,3,40.46,-1.93,"c1ccccc1C(O)C(O)c2ccccc2","hydrobenzoin"
"562","Dimethyl phthalate",-2.347,1,194.186,0,1,2,52.6,-1.66,"COC(=O)c1ccccc1C(=O)OC","dimethyl phthalate"
"563","Ethyl octanoate",-2.962,1,172.268,0,0,7,26.3,-3.39,"CCCCCCCC(=O)OCC","ethyl octanoate"
"564","Diethyldisulfide",-2.364,1,122.258,0,0,3,0,-2.42,"CCSSCC","diethyldisulfide"
"565","1,2-Diethoxyethane",-0.833,1,118.176,0,0,5,18.46,-0.77,"CCOCCOCC","1,2-diethoxyethane"
"566","1,2,4,5-Tetrachlorobenzene",-4.621,1,215.894,0,1,0,0,-5.56,"Clc1cc(Cl)c(Cl)cc1Cl","1,2,4,5-tetrachlorobenzene"
"567","p-benzidine",-2.613,1,184.242,2,2,1,52.04,-2.7,"Nc1ccc(cc1)c2ccc(N)cc2","p-benzidine"
"568","1-Heptene",-2.718,1,98.189,0,0,4,0,-3.73,"CCCCCC=C","1-heptene"
"569","Ethirimol",-2.732,1,209.293,2,1,5,57.78,-3.028,"CCCCc1c(C)nc(NCC)[nH]c1=O","ethirimol"
"570","Pentobarbital",-2.312,1,226.276,2,1,4,75.27,-2.39,"O=C1NC(=O)NC(=O)C1(CC)C(C)CCC","pentobarbital"
"571","o-Chloroaniline",-2.392,1,127.574,1,1,0,26.02,-1.52,"Nc1ccccc1Cl","o-chloroaniline"
"572","3-Chloroanisole",-3.057,1,142.585,0,1,1,9.23,-2.78,"COc1cccc(Cl)c1","3-chloroanisole"
"573","PEBULATE",-3.131,1,203.351,0,0,6,20.31,-3.53,"CCCCN(CC)C(=O)SCCC","pebulate"
"574","Butyl acetate",-1.111,1,102.133,0,0,4,26.3,-1.37,"CCCCOC=O","butyl acetate"
"575","Prednisolone",-2.974,1,360.45,3,4,2,94.83,-3.18,"CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C2CCC1(O)C(=O)CO","prednisolone"
"576","Bromodichloromethane",-2.176,1,163.829,0,0,0,0,-1.54,"BrC(Cl)Cl","bromodichloromethane"
"577","adrenosterone",-2.99,1,300.398,0,4,0,51.21,-3.48,"CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O)","adrenosterone"
"578","p-terphenyl",-5.741,2,230.31,0,3,2,0,-7.11,"c1ccc(cc1)c2ccc(cc2)c3ccccc3","p-terphenyl"
"579","p-Hydroxybenzaldehyde",-2.003,1,122.123,1,1,1,37.3,-0.96,"Oc1ccc(C=O)cc1","p-hydroxybenzaldehyde"
"580","Bromomethane",-1.109,1,94.939,0,0,0,0,-0.79,"CBr","bromomethane"
"581","Perfluidone",-4.945,1,379.381,1,2,4,80.31,-3.8,"Cc1cc(ccc1NS(=O)(=O)C(F)(F)F)S(=O)(=O)c2ccccc2","perfluidone"
"582","Coumachlor",-4.554,1,342.778,1,3,4,67.51,-5.839,"CC(=O)CC(c1ccc(Cl)cc1)c2c(O)c3ccccc3oc2=O","coumachlor"
